,BPS_School_Name,BPS_Address,BRA_Neighborhood,SMMA_latitude,SMMA_longitude,SMMA_Typology,BPS_Grades_Offered,BPS_GSF,SMMA_Site_Acres,BPS_Year_Founded,BPS_Year_Built,BPS_Principal,BPS_Open,BPS_Close,DOE_PK,DOE_K,GSF/StudentValue,BPS_KWH,BPS_Electric_Bill,BPS_Therms,BPS_Gas_Bill,BPS_Water_Bill,BPS_Total_Energy_Cost,SMMA_FA_Overall_Building_Condition,SMMA_FA_Parking_Quality,SMMA_FA_Neighborhood_Streets,SMMA_FA_Overall_Site_Condition,SMMA_FA_Mass_Transit,SMMA_FA_Bikable,SMMA_FA_Walkable,SMMA_FA_Overall_Community_Site,SMMA_EA_Building_Ventilation,SMMA_EA_Building_Natural_Daylighting,SMMA_EA_Building_Air_Quality,SMMA_EA_site_includes_Playgrounds,SMMA_EA_site_includes_PlayFields
0,"Adams, Samuel Elementary","165 Webster St East Boston, MA 02128",East Boston,42.365553000000006,-71.03491740000001,Elementary School,K0-5,41336.0,0.933884298,1910,1910.0,Hannah Irvin,7:30:00 AM,1:30:00 PM,43.0,49.0,180.0,381000.0,58339.0,14650.0,13401.0,0.0,71740.0,Poor,Moderate,Adequate,Fair,Yes,Yes,Yes,Fair,Deficient,Fair,Deficient,Yes,No
1,"Alighieri, Dante Montessori School","37 Gove Street East Boston, MA 02128",East Boston,42.3715652,-71.03760799999999,Elementary School,K0-5,16948.0,0.505945822,1924,1924.0,Mayra Cuevas,7:30:00 AM,1:30:00 PM,29.0,15.0,180.0,9977.0,2072.0,8230.0,9957.0,1685.0,13714.0,Good,Moderate,Minor,Fair,Yes,Yes,Yes,Fair,Deficient,Fair,Fair,Yes,No
2,Another Course to College*,"20 Warren Street Brighton, MA 02135",Allston,42.350353600000005,-71.1455821,High School,9-12,28021.0,1.9074380169999998,1939,1895.0,Lisa Gilbert-Smith,7:30:00 AM,2:30:00 PM,0.0,0.0,225.0,343410.0,49657.0,51459.0,57978.0,20763.0,128398.0,Good,Adequate,Adequate,Good,Yes,Yes,Yes,Good,Poor,Good,Fair,No,No
3,Baldwin Early Learning Pilot Academy,"121 Corey Rd Brighton, MA 02135",Brighton,42.342036900000004,-71.1405292,Early Learning,K0-1,27879.0,0.688475666,1926,1926.0,Tavia Mead,7:30:00 AM,4:35:00 PM,68.0,41.0,200.0,70212.0,9588.0,9806.0,11657.0,5227.0,26472.0,Good,Minor,Adequate,Good,Yes,Yes,Yes,Good,Poor,Fair,Poor,Yes,No
4,"Bates, Phineas Elementary","426 Beech St Roslindale, MA 02131",Roslindale,42.277663000000004,-71.13535309999999,Elementary School,K1-5,27936.0,1.539876033,1929,1929.0,Kelly Hung,9:30:00 AM,3:30:00 PM,20.0,36.0,180.0,91800.0,13367.0,14530.0,16909.0,5262.0,35538.0,Fair,Replace,Minor,Fair,Yes,Yes,Yes,Fair,Poor,Good,Poor,Yes,No
5,"Beethoven, Ludwig Van Elementary","5125 Washington St West Roxbury, MA 02132",West Roxbury,42.26352,-71.155824,Elementary School,K1-3,37452.0,2.3567493109999997,1925,1925.0,Edward Puliafico,8:30:00 AM,2:30:00 PM,42.0,80.0,175.0,122680.0,19632.0,17669.0,20307.0,10491.0,50430.0,Excellent,Adequate,Minor,Fair,No,No,Yes,Fair,Poor,Good,Poor,No,No
6,"Blackstone, William Elementary","380 Shawmut Ave Boston, MA 02118",South End,42.341012299999996,-71.0720558,Elementary School,K0-5,167781.0,3.311639118,1975,1975.0,Danielle Morrissey,8:30:00 AM,3:00:00 PM,76.0,77.0,146.0,1048920.0,226804.0,115380.0,124712.0,27794.0,379310.0,Good,Replace,Minor,Fair,Yes,Yes,Yes,Fair,Good,Good,Good,Yes,No
7,Boston Adult Technical Academy,"20 Church Street Boston, MA 02116",Bay Village,42.3488158,-71.0682117,Special,11-12,17640.0,0.12231405,2005,1899.0,Sheila Azores,8:50:00 AM,3:30:00 PM,0.0,0.0,225.0,91160.0,20821.0,3845.0,5269.0,3148.0,29238.0,Good,Not Present,Adequate,Fair,Yes,Yes,Yes,Fair,Good,Good,Good,No,No
8,Boston Arts Academy,"174 Ipswich St Boston, MA 02215",Fenway,42.3461819,-71.09497409999999,High School,9-12,79541.0,0.5675619829999999,1998,1899.0,Anne Clark,8:50:00 AM,3:55:00 PM,0.0,0.0,225.0,782820.0,112162.0,54291.0,66101.0,10245.0,188508.0,Good,Not Present,Moderate,Poor,Yes,Yes,No,Poor,Fair,Fair,Fair,No,No
9,Boston Community Leadership Academy*,"655 Metropolitan Av Hyde Park, MA 02136",Hyde Park,42.262789,-71.11792,High School,9-12,127373.0,3.660215794,2005,1929.0,Brett Dickens,7:45:00 AM,2:30:00 PM,0.0,0.0,225.0,1016346.0,152573.0,87336.0,64059.0,16435.0,233067.0,Good,Minor,Minor,Fair,No,Yes,Yes,Fair,Fair,Good,Fair,No,No
12,Boston International Newcomers Academy,"100 Maxwell St Dorchester, MA 02124",Dorchester,42.281211,-71.08086290000001,High School,9-12,103272.0,1.791069789,"2003, 2009",1922.0,Nicole Bahnam,8:00:00 AM,2:30:00 PM,0.0,0.0,225.0,250144.0,35951.0,26121.0,36426.0,5374.0,77751.0,Fair,Moderate,Minor,Poor,Yes,Yes,Yes,Poor,Poor,Fair,Poor,No,No
13,Boston Latin Academy,"205 Townsend St Dorchester, MA 02121",Roxbury,42.316207,-71.0845329,High School,7-12,224188.0,4.861065197,1926,1926.0,Emilia Pastor,7:20:00 AM,1:40:00 PM,0.0,0.0,161.0,1080876.0,149373.0,87133.0,112539.0,46563.0,308475.0,Good,Moderate,Minor,Fair,Yes,Yes,Yes,Fair,Deficient,Good,Deficient,No,No
14,Boston Latin School,"78 Louis Pasteur Avenue Boston, MA 02115",Longwood Medical Area,42.337962299999994,-71.10132270000001,High School,7-12,336378.0,5.982070707,1922,1922.0,Lynne Mooney Teta,7:45:00 AM,2:15:00 PM,0.0,0.0,156.0,1518864.0,224542.0,144261.0,181411.0,38283.0,444236.0,Good,Adequate,Adequate,Good,Yes,No,No,Good,Poor,Good,Poor,No,Yes
15,Boston Teachers Union K-8 School,"25 Walk Hill St Jamaica Plain, MA 02130",Jamaica Plain,42.294662,-71.116,K-8,K0-8,39586.0,0.9233011940000001,1899,1889.0,Lindsay Chaves,8:30:00 AM,3:00:00 PM,22.0,25.0,247.0,145560.0,24218.0,27613.0,31297.0,6202.0,61717.0,Good,Not Present,Minor,Fair,Yes,Yes,Yes,Fair,Deficient,Fair,Deficient,Yes,No
16,"Bradley, Manassah E. Elementary","110 Beachview Rd East Boston, MA 02128",East Boston,42.3916287,-71.0050532,Elementary School,K0-5,33128.0,1.590472911,1958,1958.0,Linda Manzo,9:30:00 AM,3:30:00 PM,44.0,35.0,180.0,120880.0,17820.0,11698.0,13768.0,4889.0,36477.0,Fair,Not Present,Minor,Fair,Yes,No,Yes,Fair,Poor,Poor,Poor,Yes,No
17,Brighton High,"25 Warren St Brighton, MA 02135",Brighton,42.34901,-71.1454665,High School,9-12,216213.0,6.6585858589999996,1930,1930.0,Patrick Tutwiler,7:30:00 AM,1:55:00 PM,0.0,0.0,200.0,681868.0,103151.0,54654.0,70999.0,29457.0,203607.0,Fair,Minor,Minor,Fair,Yes,Yes,Yes,Fair,Poor,Poor,Poor,No,No
18,"Burke, Jeremiah E. High*","60 Washington St Dorchester, MA 02121",Dorchester,42.3071524,-71.081162,High School,9-12,123099.72,0.850528007,1934,1934.0,Lindsa McIntyre,7:25:00 AM,2:20:00 PM,0.0,0.0,225.0,1322520.0,228356.0,95716.0,84952.0,12954.0,326262.0,Fair,Adequate,Minor,Good,Yes,Yes,Yes,Good,Poor,Fair,Poor,No,No
19,Carter Development Center,"396 Northampton St Boston, MA 02118",Roxbury,42.3404636,-71.0830734,Special,6-12,13583.0,1.65617539,1971,1971.0,Marianne Kopaczynski,9:30:00 AM,3:30:00 PM,0.0,0.0,225.0,325320.0,56532.0,0.0,0.0,4360.0,60892.0,Good,Adequate,Adequate,Good,Yes,Yes,Yes,Good,Good,Good,Good,No,Yes
20,"Channing, William E. Elementary","35 Sunnyside St Hyde Park, MA 02136",Hyde Park,42.251551,-71.133338,Elementary School,K1-5,32582.0,1.1464646459999999,1928,1928.0,Carline Pignato,8:30:00 AM,3:00:00 PM,28.0,43.0,180.0,87152.0,13285.0,14269.0,10694.0,4885.0,28864.0,Fair,Replace,Moderate,Poor,No,Yes,Yes,Poor,Poor,Fair,Poor,Yes,No
21,Charlestown High,"240 Medford St Charlestown, MA 02129",Charlestown,42.380076,-71.061094,High School,9-12,226822.0,1.353856749,1978,1978.0,William Thomas,7:30:00 AM,1:50:00 PM,0.0,0.0,198.0,1199240.0,221161.0,130015.0,167987.0,26431.0,415579.0,Good,Minor,Minor,Good,Yes,Yes,Yes,Good,Fair,Good,Fair,No,Yes
22,"Chittick, James J. Elementary","154 Ruskindale Rd Mattapan, MA 02126",Hyde Park,42.26739,-71.104443,Elementary School,K1-5,48697.0,1.570821855,1931,1931.0,Michelle Burnett-Herndon,8:30:00 AM,2:30:00 PM,46.0,47.0,179.0,120072.0,17670.0,16973.0,12811.0,5945.0,36426.0,Fair,Not Present,Moderate,Poor,No,Yes,Yes,Poor,Deficient,Good,Deficient,Yes,No
25,Community Academy of Science & Health*,"11 Charles St Dorchester, MA 02122",Dorchester,42.3009137,-71.0619253,High School,9-12,85935.0,2.705394858,2005,1928.0,Tanya Freeman-Wisdom,8:00:00 AM,2:25:00 PM,0.0,0.0,225.0,443480.0,86517.0,47502.0,59149.0,11207.0,156873.0,Fair,Moderate,Minor,Fair,Yes,Yes,Yes,Fair,Poor,Fair,Fair,No,No
26,"Condon, James F. Elementary","200 D St South Boston, MA 02127",South Boston,42.3381626,-71.0525141,Elementary School,K0-6,140426.0,3.61365932,1975,1975.0,Robby Chisholm,8:30:00 AM,2:30:00 PM,55.0,83.0,145.0,783380.0,183575.0,133690.0,148439.0,32480.0,364494.0,Good,Minor,Minor,Good,Yes,Yes,Yes,Good,Fair,Good,Poor,Yes,Yes
27,"Conley, George H. Elementary","450 Poplar St Roslindale, MA 02131",Roslindale,42.2746039,-71.12731590000001,Elementary School,K0-5,25281.0,1.820592287,1931,1931.0,Joseph Foley,8:30:00 AM,2:30:00 PM,22.0,41.0,180.0,87524.0,9843.0,14007.0,16293.0,5586.0,31722.0,Fair,Moderate,Adequate,Fair,No,Yes,Yes,Fair,Poor,Fair,Poor,Yes,No
28,Curley K-8 (Lower School),"40 Pershing Rd Jamaica Plain, MA 02130",Jamaica Plain,42.319074900000004,-71.1140772,K-8,K1-5,34445.0,4.038475666,2007,1970.0,Katherine Grassa,8:30:00 AM,2:30:00 PM,87.0,87.0,226.0,203904.0,36879.0,13298.0,16031.0,6013.0,58923.0,Good,Replace,Minor,Fair,Yes,Yes,Yes,Fair,Fair,Good,Fair,Yes,Yes
31,"Dever, Paul A. Elementary","325 Mt Vernon St Dorchester, MA 02125",Dorchester,42.3175807,-71.0427667,Elementary School,K1-5,75892.0,6.476354454,1957,1957.0,75892,75892,75892,38.0,66.0,158.0,493520.0,76625.0,86865.0,109138.0,19400.0,205163.0,Poor,Replace,Minor,Fair,Yes,No,No,Fair,Poor,Fair,Poor,Yes,No
